Set_database_ID	Set_Name	Set_Components	Set_Organism	Set_db_id
584	Ppp3cb-RyR2-mAkap complex	ENSG00000151320,ENSG00000107758,ENSG00000198626	Rat	584
585	Mi2/NuRD-BCL6-MTA3 complex	ENSG00000113916,ENSG00000111642,ENSG00000116478,ENSG00000071655,ENSG00000057935	Human	585
586	Ccnb1-Itpr1-Cdc2 signaling complex	ENSG00000134057,ENSG00000170312,ENSG00000150995	Rat	586
587	NuRD.1 complex	ENSG00000111642,ENSG00000116478,ENSG00000196591,ENSG00000071655,ENSG00000182979,ENSG00000057935,ENSG00000162521,ENSG00000102054	Human	587
590	Kv4.2-KChIP3-Dpp10 channel complex	ENSG00000175497,ENSG00000184408,ENSG00000115041	Rat	590
594	Kv4.2-DPPX channel complex	ENSG00000130226,ENSG00000184408	Rat	594
595	Kv4.2-DPP10 channel complex	ENSG00000175497,ENSG00000184408	Human	595
597	Cx43/Gja1-Tom20-Hsp90ab complex	ENSG00000152661,ENSG00000096384,ENSG00000173726	Rat	597
598	Kv4.3-Dpp10 channel complex	ENSG00000175497,ENSG00000171385	Rat	598
599	Kv4.3-Dpp6 channel complex	ENSG00000130226,ENSG00000171385	Rat	599
600	Kv4.1-Dpp6 channel complex	ENSG00000130226	Rat	600
601	Kv4.1-Dpp10 channel complex	ENSG00000175497	Rat	601
604	Kv4.2-DPPX-KChIP channel complex	ENSG00000130226,ENSG00000184408,ENSG00000182132,ENSG00000120049,ENSG00000115041,ENSG00000185774	Rat	604
605	TIM (TIMM17ab, TIMM23, TIMM44) complex, mitochondrial	ENSG00000134375,ENSG00000126768,ENSG00000138297,ENSG00000104980	Human	605
606	Kv4.2-Kchip1 channel complex	ENSG00000184408,ENSG00000182132	Rat	606
607	Kv4.2-Kchip2 channel complex	ENSG00000184408,ENSG00000120049	Rat	607
608	Kv4.2-Kchip3 channel complex	ENSG00000184408,ENSG00000115041	Rat	608
609	Kv4.2-Kv4.3 channel complex	ENSG00000184408,ENSG00000171385	Rat	609
610	MSL complex	ENSG00000120071,ENSG00000174579,ENSG00000005302,ENSG00000103510	Human	610
611	Exocyst complex	ENSG00000112685,ENSG00000180104,ENSG00000131558,ENSG00000070367,ENSG00000182473,ENSG00000116903	Rat	611
613	CTF18-CTF8-DCC1-RFC3 complex	ENSG00000127586,ENSG00000168802,ENSG00000136982,ENSG00000133119	Human	613
614	NRD complex (Nucleosome remodeling and deacetylation complex)	ENSG00000004487,ENSG00000170004,ENSG00000111642,ENSG00000116478,ENSG00000196591,ENSG00000182979,ENSG00000162521	Human	614
615	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)	ENSG00000055130,ENSG00000113558,ENSG00000145604	Human	615
616	TIM (Timm17a, Timm23, Timm44, Hsp70) complex, mitochondrial	ENSG00000134375,ENSG00000138297,ENSG00000104980	Rat	616
617	CASK-LIN7C-APBA1 complex	ENSG00000107282,ENSG00000147044,ENSG00000148943	Human	617
620	CoREST-HDAC complex	ENSG00000004487,ENSG00000116478,ENSG00000196591,ENSG00000064961,ENSG00000135365,ENSG00000089902,ENSG00000171940	Human	620
621	AKAP250-PKA-PDE4D complex	ENSG00000131016,ENSG00000113448,ENSG00000072062,ENSG00000142875,ENSG00000165059	Human	621
622	Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2)	ENSG00000108094,ENSG00000154582,ENSG00000103363,ENSG00000134086	Human	622
623	TIM (TIMM9, TIMM10) complex, mitochondrial	ENSG00000134809,ENSG00000100575	Human	623
624	LSD1-CoREST complex	ENSG00000004487,ENSG00000089902	Human	624
626	LSD1 complex	ENSG00000004487,ENSG00000159692,ENSG00000116478,ENSG00000140382,ENSG00000064961,ENSG00000135365,ENSG00000056487,ENSG00000089902,ENSG00000117625,ENSG00000124782,ENSG00000121741,ENSG00000171940	Human	626
627	MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)	ENSG00000020922,ENSG00000104320,ENSG00000113522,ENSG00000196367	Human	627
628	SNARE complex (Stx, Stx8, Vti1b, VAMP8)	ENSG00000079950,ENSG00000170310,ENSG00000118640	Rat	628
629	BLM-TRF2 complex	ENSG00000197299,ENSG00000028839	Human	629
630	RyR2 macromolecular complex	ENSG00000198626,ENSG00000172531,ENSG00000213639,ENSG00000186298,ENSG00000113575,ENSG00000104695,ENSG00000072062,ENSG00000142875,ENSG00000114302,ENSG00000005249	Rat	630
631	Tacc1-chTOG-AuroraA  complex	ENSG00000087586,ENSG00000175216,ENSG00000147526	Human	631
632	Anti-HDAC2 complex	ENSG00000004487,ENSG00000170004,ENSG00000111642,ENSG00000131149,ENSG00000077809,ENSG00000116478,ENSG00000196591,ENSG00000064961,ENSG00000182979,ENSG00000149480,ENSG00000135365,ENSG00000162521,ENSG00000102054,ENSG00000089902,ENSG00000121741,ENSG00000147130,ENSG00000169375,ENSG00000127511	Human	632
633	anti-BHC110 complex	ENSG00000004487,ENSG00000131149,ENSG00000077809,ENSG00000116478,ENSG00000196591,ENSG00000064961,ENSG00000135365,ENSG00000089902,ENSG00000121741,ENSG00000147130,ENSG00000171940	Human	633
634	XFIM complex	ENSG00000004487,ENSG00000077809,ENSG00000116478,ENSG00000196591,ENSG00000147130	Human	634
635	AGPS-GNPAT complex	ENSG00000018510,ENSG00000116906	Human	635
636	BHC complex	ENSG00000004487,ENSG00000116478,ENSG00000196591,ENSG00000064961,ENSG00000135365,ENSG00000089902	Human	636
639	RANBPM-Muskelin-TWA1-HSMpp8 complex	ENSG00000101193,ENSG00000128585,ENSG00000196199,ENSG00000010017	Human	639
640	SNARE complex (Snap47, Stx1a, Vamp2)	ENSG00000143740,ENSG00000106089,ENSG00000220205	Rat	640
641	RANBPM-SMP1 complex	ENSG00000010017,ENSG00000183726	Human	641
642	CtBP complex	ENSG00000004487,ENSG00000141582,ENSG00000153046,ENSG00000159692,ENSG00000175029,ENSG00000181090,ENSG00000116478,ENSG00000196591,ENSG00000196233,ENSG00000089902,ENSG00000117625,ENSG00000124782,ENSG00000148516,ENSG00000169554,ENSG00000171940,ENSG00000101493	Human	642
644	ASPP1-SAM68 complex	ENSG00000121774,ENSG00000088808	Human	644
646	HDAC1-associated protein complex	ENSG00000004487,ENSG00000170004,ENSG00000116478,ENSG00000134046,ENSG00000071655,ENSG00000149480,ENSG00000162521,ENSG00000102054,ENSG00000089902	Human	646
647	HPFH(-198) complex	ENSG00000130816,ENSG00000125651	Mouse	647
648	HDAC1-associated core complex cI	ENSG00000004487,ENSG00000116478,ENSG00000089902	Human	648
649	HDAC1-associated core complex cII	ENSG00000170004,ENSG00000116478,ENSG00000134046,ENSG00000071655,ENSG00000149480,ENSG00000162521,ENSG00000102054,ENSG00000089902,ENSG00000167491,ENSG00000143614	Human	649
650	HDAC2-asscociated core complex	ENSG00000170004,ENSG00000196591,ENSG00000071655,ENSG00000149480,ENSG00000162521,ENSG00000102054,ENSG00000167491,ENSG00000143614	Human	650
651	SNARE complex (Snap25, Stx1a, Vamp2)	ENSG00000132639,ENSG00000106089,ENSG00000220205	Rat	651
652	AP3-BLOC1 complex	ENSG00000132842,ENSG00000103723,ENSG00000065000,ENSG00000185009,ENSG00000070718,ENSG00000177879,ENSG00000157823,ENSG00000135441,ENSG00000196072,ENSG00000189114,ENSG00000186222,ENSG00000047579,ENSG00000188428,ENSG00000104164,ENSG00000143553	Human	652
653	SNARE complex (Ykt6, Stx5, Gosr2, Bet1)	ENSG00000105829,ENSG00000108433,ENSG00000162236,ENSG00000106636	Rat	653
654	BLOC1-BLOC2 complex	ENSG00000135441,ENSG00000196072,ENSG00000189114,ENSG00000186222,ENSG00000047579,ENSG00000163755,ENSG00000110756,ENSG00000166189,ENSG00000188428,ENSG00000104164,ENSG00000143553	Human	654
655	HSF1-HSF2 complex	ENSG00000185122,ENSG00000025156	Human	655
657	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	ENSG00000028528,ENSG00000205302,ENSG00000122958,ENSG00000111237,ENSG00000069329	Human	657
660	TIM (TIMM23, TIMM50) complex, mitochondrial	ENSG00000138297,ENSG00000105197	Human	660
661	Karyopherin complex	ENSG00000114030,ENSG00000108424,ENSG00000160801	Rat	661
663	SNARE complex (Stx5, Ykt6, Gosr1, Bet1)	ENSG00000108587,ENSG00000162236,ENSG00000106636	Rat	663
664	SNARE complex (Stx5, Gosr2, Sec22b, Bet1)	ENSG00000105829,ENSG00000108433,ENSG00000162236	Rat	664
665	BKCA alpha-Cav1.2 channel complex	ENSG00000151067,ENSG00000156113	Rat	665
666	BKCA alpha-Cav2.1 channel complex	ENSG00000141837,ENSG00000156113	Rat	666
667	BKCA alpha-Cav2.2 channel complex	ENSG00000148408,ENSG00000156113	Rat	667
668	BKCA-beta2AR-AKAP79 signaling complex	ENSG00000169252,ENSG00000179841,ENSG00000156113	Human	668
669	beta2AR-AKAP79/150  complex	ENSG00000169252,ENSG00000179841	Rat	669
670	BKCa-AKAP79/150 complex	ENSG00000179841,ENSG00000156113	Rat	670
672	BKCA-beta2AR complex	ENSG00000169252,ENSG00000156113	Human	672
673	SNARE complex (Stx5, p97, Nsfl1c)	ENSG00000088833,ENSG00000162236,ENSG00000165280	Rat	673
674	Presenilin-TMP21 complex	ENSG00000162736,ENSG00000080815,ENSG00000205155,ENSG00000170348	Mouse	674
675	TMP21-P24 complex	ENSG00000152954,ENSG00000170348	Mouse	675
676	Metallothionein-3 complex	ENSG00000075624,ENSG00000166165,ENSG00000092964,ENSG00000096384,ENSG00000087250	Mouse	676
677	Mt3-Hsp84-Ck complex	ENSG00000166165,ENSG00000096384,ENSG00000087250	Mouse	677
678	GINS complex	ENSG00000101003,ENSG00000131153,ENSG00000181938,ENSG00000147536	Human	678
679	Tis7-Sin3-Hdac1-Ncor1-Sap30 complex	ENSG00000006652,ENSG00000141027,ENSG00000164105,ENSG00000127511	Mouse	679
680	RANBMP-CD39 complex	ENSG00000138185,ENSG00000099901	Human	680
682	C-CFTR-NHERF(PDZ1 domain)-ezrin complex	ENSG00000001626,ENSG00000092820,ENSG00000109062	Human	682
684	PAX9-MSX1 complex	ENSG00000163132,ENSG00000198807	Human	684
685	MeCP1 complex	ENSG00000111642,ENSG00000143614,ENSG00000116478,ENSG00000196591,ENSG00000134046,ENSG00000071655,ENSG00000149480,ENSG00000162521,ENSG00000102054	Human	685
686	Apg16L-Apg12-Apg5 complex	ENSG00000145782,ENSG00000085978,ENSG00000057663	Mouse	686
687	CFTR-NHERF-beta(2)AR signaling complex	ENSG00000169252,ENSG00000001626,ENSG00000109062	Human	687
688	Cd2ap-Fyn complex	ENSG00000198087,ENSG00000010810	Mouse	688
690	Cd2ap-Synpo complex	ENSG00000198087,ENSG00000171992	Mouse	690
692	LysRS-Hint-Mitf complex	ENSG00000065427,ENSG00000187098	Rat	692
693	TOM (Tomm70, Tomm20, Tomm22) complex, mitochondrial	ENSG00000173726,ENSG00000100216,ENSG00000154174	Rat	693
694	Bad-Gk-Wave1-Pkaca-Ppp1cc complex	ENSG00000002330,ENSG00000106633,ENSG00000186298,ENSG00000072062,ENSG00000112290	Mouse	694
696	BRMS1-SIN3-HDAC complex	ENSG00000174744,ENSG00000116478,ENSG00000196591,ENSG00000162521,ENSG00000102054,ENSG00000164105,ENSG00000169375,ENSG00000127511	Human	696
697	BRMS1-RBP1 complex	ENSG00000054267,ENSG00000174744	Human	697
700	Snap25-caveolin complex	ENSG00000105974,ENSG00000132639	Rat	700
701	HuR-Tia1-Tiar-Hrnpu complex	ENSG00000153187,ENSG00000116001,ENSG00000151923	Rat	701
702	ARD1-NATH complex	ENSG00000164134,ENSG00000113595	Human	702
703	SNARE complex (Vamp7, Stx5, Bet1, Vti1a)	ENSG00000105829,ENSG00000162236,ENSG00000124333,ENSG00000151532	Rat	703
705	SNARE complex (RINT1, ZW10, p31)	ENSG00000099341,ENSG00000135249,ENSG00000086827	Human	705
706	SNARE complex (HGS, SNAP25, STX13)	ENSG00000185359,ENSG00000132639,ENSG00000117758	Human	706
707	SNARE complex (VAMP2, SNAP25, STX13)	ENSG00000132639,ENSG00000117758,ENSG00000220205	Human	707
713	BRG1-SIN3A complex	ENSG00000136518,ENSG00000117713,ENSG00000196591,ENSG00000100462,ENSG00000162521,ENSG00000169375,ENSG00000127616,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000066117,ENSG00000108604,ENSG00000082014,ENSG00000073584	Human	713
714	BRM-SIN3A complex	ENSG00000136518,ENSG00000117713,ENSG00000116478,ENSG00000196591,ENSG00000100462,ENSG00000162521,ENSG00000169375,ENSG00000080503,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000066117,ENSG00000108604,ENSG00000082014,ENSG00000073584	Human	714
716	PU.1-associated protein complex	ENSG00000146047,ENSG00000169057,ENSG00000115053,ENSG00000066336	Mouse	716
717	PU.1-Sin3A-Hdac-MeCP2 complex	ENSG00000169057,ENSG00000169375,ENSG00000066336	Mouse	717
718	TRPV5-S100A10-annexin 2 complex	ENSG00000182718,ENSG00000197747,ENSG00000127412	Mouse	718
719	S100A10-annexin 2 complex	ENSG00000182718,ENSG00000197747	Mouse	719
720	PU.1-SIN3A-HDAC complex	ENSG00000116478,ENSG00000169375,ENSG00000066336	Human	720
721	PU.1-TBP complex	ENSG00000066336,ENSG00000112592	Human	721
723	MAF1 complex	ENSG00000185787,ENSG00000179010,ENSG00000139687	Human	723
724	MAF2 complex	ENSG00000185787,ENSG00000103510	Human	724
725	P2X7 receptor signalling complex	ENSG00000075624,ENSG00000130402,ENSG00000096384,ENSG00000109971,ENSG00000160255,ENSG00000053747,ENSG00000161647,ENSG00000241973,ENSG00000127329,ENSG00000197321	Human	725
726	DDB2 complex	ENSG00000166200,ENSG00000141030,ENSG00000138663,ENSG00000121022,ENSG00000168090,ENSG00000198612,ENSG00000139842,ENSG00000167986,ENSG00000134574,ENSG00000169727,ENSG00000100387,ENSG00000111652,ENSG00000144524	Human	726
727	CSA complex	ENSG00000166200,ENSG00000141030,ENSG00000138663,ENSG00000121022,ENSG00000168090,ENSG00000198612,ENSG00000139842,ENSG00000167986,ENSG00000049167,ENSG00000169727,ENSG00000100387,ENSG00000111652,ENSG00000144524	Human	727
728	CSA-POLIIa complex	ENSG00000166200,ENSG00000141030,ENSG00000138663,ENSG00000121022,ENSG00000168090,ENSG00000198612,ENSG00000139842,ENSG00000167986,ENSG00000049167,ENSG00000169727,ENSG00000181222,ENSG00000100387,ENSG00000111652,ENSG00000144524	Human	728
729	Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)	ENSG00000055130,ENSG00000103264,ENSG00000100387,ENSG00000113558	Human	729
730	SNARE complex (STX4, SNAP23, VAMP1)	ENSG00000092531,ENSG00000103496,ENSG00000139190	Human	730
731	SNARE complex (STX4, SNAP23, VAMP2)	ENSG00000092531,ENSG00000103496,ENSG00000220205	Human	731
732	SIN3 complex	ENSG00000116478,ENSG00000196591,ENSG00000162521,ENSG00000102054,ENSG00000150459,ENSG00000164105,ENSG00000169375	Human	732
733	SNARE complex (STX4, VAMP1, VAMP7)	ENSG00000103496,ENSG00000139190,ENSG00000124333	Human	733
735	SNARE complex (Vti1b, Stx6, Stx7)	ENSG00000135823,ENSG00000079950,ENSG00000100568	Mouse	735
737	Ppp2c-PKA-Ryr2-mAkap-Pde4d3 complex	ENSG00000151320,ENSG00000198626,ENSG00000113575,ENSG00000104695,ENSG00000072062,ENSG00000142875	Rat	737
738	SIN3-ING1b complex I	ENSG00000054267,ENSG00000116478,ENSG00000196591,ENSG00000153487,ENSG00000162521,ENSG00000102054,ENSG00000150459,ENSG00000164105,ENSG00000169375	Human	738
739	SIN3-ING1b complex II	ENSG00000136518,ENSG00000117713,ENSG00000054267,ENSG00000116478,ENSG00000196591,ENSG00000153487,ENSG00000162521,ENSG00000102054,ENSG00000150459,ENSG00000164105,ENSG00000169375,ENSG00000127616,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000066117	Human	739
741	NCOR-HDAC3 complex	ENSG00000132522,ENSG00000171720,ENSG00000141027,ENSG00000101849,ENSG00000177565	Human	741
743	SIN3-SAP25 complex	ENSG00000054267,ENSG00000116478,ENSG00000196591,ENSG00000162521,ENSG00000102054,ENSG00000136715,ENSG00000150459,ENSG00000164105,ENSG00000169375,ENSG00000111707	Human	743
745	NCOR-SIN3-RPD3 complex	ENSG00000196591,ENSG00000196498,ENSG00000169375,ENSG00000127511	Human	745
746	C/EBPalpha-HNF6 complex	ENSG00000169856	Human	746
747	NCOR-SIN3-HDAC1 complex	ENSG00000116478,ENSG00000196498,ENSG00000169375	Human	747
748	TRAF6-TAK1 complex	ENSG00000135341,ENSG00000175104	Human	748
749	MeCP2-SIN3A-HDAC complex	ENSG00000116478,ENSG00000196591,ENSG00000169057,ENSG00000169375	Human	749
751	Trpc1-dystrophin-alpha1-syntrophin complex	ENSG00000198947,ENSG00000101400,ENSG00000144935	Mouse	751
753	UTM-SGCE-DAG1-CAV1-NOS3 complex	ENSG00000105974,ENSG00000173402,ENSG00000164867,ENSG00000127990,ENSG00000152818	Human	753
755	Exon junction complex (F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)	ENSG00000108349,ENSG00000141543,ENSG00000162385,ENSG00000125351,ENSG00000170473	Human	755
756	Prune-Gelsolin complex	ENSG00000148180,ENSG00000143363	Human	756
757	Prune-GSK3beta complex	ENSG00000082701,ENSG00000143363	Human	757
758	Prune/Nm23-H1 complex	ENSG00000239672,ENSG00000143363	Human	758
761	Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18-RNPS1-Acinus-S	ENSG00000100813,ENSG00000205937,ENSG00000150459	Human	761
763	Y14-Magoh complex	ENSG00000162385	Human	763
764	Dysferlin-affixin complex	ENSG00000135636,ENSG00000188677	Human	764
765	SNARE complex (Stx6, Snap29)	ENSG00000099940,ENSG00000135823	Rat	765
766	Cask-Grip1-Prkce-Rgs4-Gria2 complex	ENSG00000147044,ENSG00000120251,ENSG00000155974,ENSG00000171132,ENSG00000117152	Rat	766
767	Cask-Grip1-Gria2-Mint1 complex	ENSG00000107282,ENSG00000147044,ENSG00000120251,ENSG00000155974	Rat	767
770	TREX complex	ENSG00000079134,ENSG00000125676,ENSG00000051596,ENSG00000183684,ENSG00000100296,ENSG00000131652,ENSG00000163634	Human	770
771	NDPKA-AMPKalpha1 complex	ENSG00000239672,ENSG00000132356	Human	771
774	THO complex	ENSG00000079134,ENSG00000125676,ENSG00000100296,ENSG00000131652,ENSG00000163634	Human	774
776	Plp1-Calr-Itgav complex	ENSG00000179218,ENSG00000123560	Rat	776
778	LARC complex (LCR-associated remodeling complex)	ENSG00000075624,ENSG00000136518,ENSG00000117713,ENSG00000111642,ENSG00000133884,ENSG00000143614,ENSG00000116478,ENSG00000196591,ENSG00000092199,ENSG00000134046,ENSG00000071655,ENSG00000149480,ENSG00000162521,ENSG00000127616,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000108604,ENSG00000073584	Human	778
779	K(ATP) macromolecular complex (Kir6.2, Pkm2, Gapdh, Tpi1)	ENSG00000187486,ENSG00000067225,ENSG00000111669	Rat	779
781	URI complex (Unconventional prefoldin RPB5 Interactor)	ENSG00000055130,ENSG00000143256,ENSG00000099817,ENSG00000105176,ENSG00000175792,ENSG00000183207,ENSG00000113558,ENSG00000145604,ENSG00000035720	Human	781
783	ITCH-FAM/USP9x complex	ENSG00000078747,ENSG00000124486	Human	783
784	SMG-1-Upf1-eRF1-eRF3 complex (SURF)	ENSG00000120705,ENSG00000157106,ENSG00000005007,ENSG00000103342,ENSG00000189369	Human	784
785	Exon junction complex	ENSG00000141543,ENSG00000162385,ENSG00000205937,ENSG00000133226,ENSG00000183684,ENSG00000125351	Human	785
786	MR-UBC9-SRC1 complex	ENSG00000084676,ENSG00000151623,ENSG00000138814	Human	786
787	NuA4/Tip60-HAT complex B	ENSG00000136518,ENSG00000178028,ENSG00000120616,ENSG00000172977,ENSG00000185787,ENSG00000175792,ENSG00000183207,ENSG00000196367	Human	787
789	Exosome	ENSG00000083520,ENSG00000171311,ENSG00000171824,ENSG00000130713,ENSG00000107371,ENSG00000178896,ENSG00000077348,ENSG00000223496,ENSG00000075914,ENSG00000120699,ENSG00000123737	Human	789
790	DDB complex	ENSG00000167986,ENSG00000134574	Human	790
793	SNARE complex (VAMP2, SNAP25, STX1a, CPLX1)	ENSG00000168993,ENSG00000132639,ENSG00000106089,ENSG00000220205	Human	793
794	SNARE complex (VAMP2, SNAP25, STX1a, CPLX2)	ENSG00000145920,ENSG00000132639,ENSG00000106089,ENSG00000220205	Human	794
797	SNARE complex (STX11, VAMP2, SNAP23)	ENSG00000092531,ENSG00000135604,ENSG00000220205	Human	797
798	NuA4/Tip60-HAT complex A	ENSG00000136518,ENSG00000112983,ENSG00000163875,ENSG00000178028,ENSG00000183495,ENSG00000120616,ENSG00000135999,ENSG00000172977,ENSG00000071243,ENSG00000185787,ENSG00000101189,ENSG00000175792,ENSG00000183207,ENSG00000196367,ENSG00000127337	Human	798
799	DMAP1-associated complex	ENSG00000136518,ENSG00000112983,ENSG00000178028,ENSG00000183495,ENSG00000120616,ENSG00000175792,ENSG00000183207,ENSG00000080603,ENSG00000196367,ENSG00000163159	Human	799
801	SNARE complex (STX2, SNAP23)	ENSG00000092531,ENSG00000111450	Human	801
805	SNARE complex (STX4, SNAP23)	ENSG00000092531,ENSG00000103496	Human	805
806	BRM-SIN3A-HDAC complex	ENSG00000136518,ENSG00000117713,ENSG00000196591,ENSG00000100462,ENSG00000169375,ENSG00000080503,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000066117,ENSG00000108604,ENSG00000073584	Human	806
809	eRF1-eRF3-GTP-Mg(2+) complex	ENSG00000120705,ENSG00000103342,ENSG00000189369	Human	809
811	FCP1-associated protein complex	ENSG00000060069,ENSG00000100632,ENSG00000125651,ENSG00000047315,ENSG00000100462,ENSG00000112079,ENSG00000116455	Human	811
812	Upf complex (UPF1, UPF2, UPF3a)	ENSG00000005007,ENSG00000151461,ENSG00000169062	Human	812
813	Upf complex (UPF1, UPF2, UPF3b)	ENSG00000005007,ENSG00000151461,ENSG00000125351	Human	813
814	Postsplicing complex	ENSG00000205937,ENSG00000005007,ENSG00000151461,ENSG00000169062,ENSG00000125351	Human	814
815	MRIP-MBS-RHOA complex	ENSG00000133030,ENSG00000058272,ENSG00000067560	Human	815
819	20S methylosome-SmD complex	ENSG00000074201,ENSG00000100462,ENSG00000167088,ENSG00000100028	Human	819
820	SNARE complex (STX6, SNAP23)	ENSG00000092531,ENSG00000135823	Human	820
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	ENSG00000172795,ENSG00000171824,ENSG00000130713,ENSG00000178896,ENSG00000140694,ENSG00000005007,ENSG00000151461,ENSG00000125351,ENSG00000114127,ENSG00000088930	Human	822
825	JBP1-pICln complex	ENSG00000074201,ENSG00000100462	Human	825
828	TRPC1-STIM1-ORAI1 complex	ENSG00000169862,ENSG00000182500,ENSG00000144935	Human	828
829	PAR-6-VE-cadherin complex, endothelial	ENSG00000179776,ENSG00000102981,ENSG00000178184	Human	829
830	Trpc1-Stim1-Orai1 complex	ENSG00000182500,ENSG00000167323,ENSG00000144935	Rat	830
831	PAR-6-PAR-3-VE-cadherin complex, endothelial	ENSG00000179776,ENSG00000148498,ENSG00000102981,ENSG00000178184	Human	831
832	Anti-Sm protein complex	ENSG00000074201,ENSG00000064703,ENSG00000179409,ENSG00000100462,ENSG00000092208	Human	832
833	6S methyltransferase complex	ENSG00000074201,ENSG00000167088,ENSG00000100028	Human	833
834	20S methylosome and RG-containing Sm protein complex	ENSG00000074201,ENSG00000100462,ENSG00000167088,ENSG00000125743,ENSG00000100028	Human	834
835	6S methyltransferase and RG-containing Sm proteins complex	ENSG00000074201,ENSG00000167088,ENSG00000125743,ENSG00000100028,ENSG00000182004,ENSG00000143977	Human	835
836	20S methyltransferase core complex	ENSG00000074201,ENSG00000100462	Human	836
839	LIN9-BMYB complex	ENSG00000183814,ENSG00000101057	Human	839
840	Disc1-Grb2-Kif5a complex	ENSG00000162946,ENSG00000177885,ENSG00000155980	Rat	840
842	SNARE complex (Stx3, Snap25, Vamp2, Cplx1)	ENSG00000132639,ENSG00000166900,ENSG00000220205	Rat	842
845	PCI-PSA-SCG2 complex	ENSG00000142515,ENSG00000171951,ENSG00000188488	Human	845
846	RICH1/AMOT polarity complex, Flag-Rich1 precipitated	ENSG00000126016,ENSG00000140750,ENSG00000077549,ENSG00000198087,ENSG00000132849,ENSG00000072415,ENSG00000147010,ENSG00000116489,ENSG00000198898	Human	846
847	RICH1-PAR3-aPKC polarity complex	ENSG00000140750,ENSG00000148498,ENSG00000163558	Human	847
848	RICH1/AMOT polarity complex, Flag-Amot precipitated	ENSG00000126016,ENSG00000166025,ENSG00000114019,ENSG00000140750,ENSG00000132849,ENSG00000107186,ENSG00000072415,ENSG00000150054	Human	848
854	SNARE complex (Stx1a, Snap25, Vamp8)	ENSG00000132639,ENSG00000106089,ENSG00000118640	Rat	854
855	SNARE complex (Stx2, Snap25, Vamp8)	ENSG00000132639,ENSG00000111450,ENSG00000118640	Rat	855
856	SNARE complex (Stx3, Snap25, Vamp8)	ENSG00000132639,ENSG00000166900,ENSG00000118640	Rat	856
857	SNARE complex (Stx4, Snap25, Vamp8)	ENSG00000132639,ENSG00000103496,ENSG00000118640	Rat	857
859	SNARE complex (Stx4, Stx6, Stx7, Vamp3, Vamp7, Vamp8, Vti1b)	ENSG00000103496,ENSG00000135823,ENSG00000079950,ENSG00000049245,ENSG00000124333,ENSG00000118640,ENSG00000100568	Mouse	859
860	DNMT1-G9a-PCNA complex	ENSG00000130816,ENSG00000132646	Human	860
861	Par-3-p75NTR complex	ENSG00000064300,ENSG00000148498	Mouse	861
862	DNMT1-G9a complex	ENSG00000130816	Human	862
863	Srf-Myocd-Msx1 complex	ENSG00000163132,ENSG00000141052	Rat	863
864	Srf-Myocd-Msx2 complex	ENSG00000120149,ENSG00000141052	Rat	864
867	TRAP-SMCC mediator complex	ENSG00000125686,ENSG00000161920,ENSG00000042429,ENSG00000148297,ENSG00000104973,ENSG00000063322,ENSG00000136146,ENSG00000159479,ENSG00000156603	Human	867
871	BRAF53-BRCA2 complex	ENSG00000004487,ENSG00000139618,ENSG00000116478,ENSG00000196591,ENSG00000064961,ENSG00000135365,ENSG00000089902	Human	871
873	SNARE complex (STX1A, SNAP29)	ENSG00000099940,ENSG00000106089	Human	873
874	SNARE complex (VAMP3, VAMP4, VAMP8, STX6)	ENSG00000135823,ENSG00000049245,ENSG00000117533,ENSG00000118640	Human	874
875	SNARE complex (VAMP3, VAMP4, STX16)	ENSG00000124222,ENSG00000049245,ENSG00000117533	Human	875
876	SNARE complex (VAMP3, STX6, VTI1A)	ENSG00000135823,ENSG00000049245,ENSG00000151532	Human	876
877	SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)	ENSG00000124222,ENSG00000135823,ENSG00000117533,ENSG00000151532,ENSG00000100568	Human	877
878	Prkac-Akap5-Adrb1 complex	ENSG00000043591,ENSG00000179841,ENSG00000072062,ENSG00000142875	Rat	878
879	PRKAC-AKAP5-ADRB1 complex	ENSG00000043591,ENSG00000179841,ENSG00000072062,ENSG00000142875,ENSG00000165059	Human	879
880	SNARE complex (Vamp4, Stx6, Stx16, Vti1b)	ENSG00000124222,ENSG00000135823	Rat	880
881	SNARE complex (Vamp4, Stx6, Stx16, Vti1a)	ENSG00000124222,ENSG00000135823,ENSG00000151532	Rat	881
884	GluR1-cadherin-catenin complex	ENSG00000170558,ENSG00000168036	Rat	884
